Week,State_Code,State_Name,Disease_Code,Incidence_per_Capita,Disease_Outbreak
8,UP,Maharashtra,DEN,0.36,0
38,KA,Rajasthan,DEN,2.5,1
16,MH,Gujarat,CHK,0.31,0
17,KA,Karnataka,MAL,4.46,1
31,KA,West Bengal,CHK,0.52,0
31,RJ,Karnataka,DEN,0.76,0
51,UP,Andhra Pradesh,MAL,2.16,1
6,OR,West Bengal,MAL,0.53,0
36,GJ,Gujarat,DEN,4.34,1
11,UP,Gujarat,MAL,1.15,0
28,UP,Bihar,CHK,4.95,1
1,MH,Odisha,CHK,0.32,0
30,KA,Karnataka,MAL,0.77,0
26,RJ,Rajasthan,DEN,2.5,1
44,GJ,Maharashtra,DEN,2.52,1
39,WB,Rajasthan,MAL,4.69,1
35,GJ,Gujarat,MAL,4.54,1
48,TN,Karnataka,DEN,4.61,1
51,KA,West Bengal,MAL,1.07,0
49,GJ,Tamil Nadu,DEN,1.26,0
12,BH,West Bengal,MAL,2.46,1
48,TN,Maharashtra,DEN,1.09,0
6,MH,Rajasthan,DEN,1.45,0
22,KA,Tamil Nadu,DEN,0.18,0
47,RJ,Uttar Pradesh,CHK,1.46,0
15,KA,Gujarat,MAL,3.14,1
16,WB,Karnataka,MAL,0.71,0
47,RJ,Andhra Pradesh,DEN,2.91,1
35,RJ,Bihar,DEN,2.1,1
25,BH,West Bengal,DEN,2.38,1
17,GJ,Odisha,MAL,4.21,1
42,GJ,Tamil Nadu,CHK,3.73,1
44,KA,West Bengal,CHK,4.99,1
17,RJ,Odisha,CHK,3.97,1
22,KA,Maharashtra,MAL,1.13,0
22,UP,Bihar,CHK,2.2,1
11,GJ,Karnataka,MAL,1.38,0
43,RJ,Tamil Nadu,MAL,0.7,0
6,OR,Uttar Pradesh,DEN,0.7,0
48,MH,Maharashtra,MAL,3.82,1
8,TN,Karnataka,MAL,4.6,1
47,GJ,Rajasthan,MAL,1.07,0
6,BH,Gujarat,DEN,2.19,1
8,RJ,Uttar Pradesh,CHK,3.5,1
26,UP,Odisha,CHK,1.23,0
21,BH,Uttar Pradesh,DEN,2.09,1
26,AP,Uttar Pradesh,DEN,2.27,1
27,GJ,Andhra Pradesh,MAL,2.36,1
6,OR,Tamil Nadu,DEN,3.8,1
4,OR,Karnataka,MAL,0.16,0
27,UP,Karnataka,CHK,1.43,0
24,OR,Gujarat,MAL,2.75,1
44,GJ,Gujarat,MAL,1.16,0
32,RJ,Andhra Pradesh,MAL,3.76,1
24,KA,Rajasthan,DEN,3.2,1
30,RJ,Gujarat,DEN,0.42,0
20,MH,Maharashtra,DEN,1.24,0
28,MH,Gujarat,DEN,1.23,0
29,KA,Bihar,MAL,1.18,0
21,TN,Karnataka,CHK,2.74,1
35,WB,Odisha,CHK,0.44,0
17,GJ,Andhra Pradesh,CHK,3.69,1
28,OR,Gujarat,CHK,1.02,0
9,OR,Tamil Nadu,DEN,1.32,0
23,KA,Uttar Pradesh,MAL,0.78,0
38,OR,Tamil Nadu,DEN,1.48,0
26,AP,Gujarat,DEN,3.21,1
8,AP,Odisha,MAL,0.64,0
51,MH,West Bengal,DEN,4.11,1
1,WB,Rajasthan,MAL,1.18,0
45,AP,Gujarat,DEN,0.96,0
24,AP,Tamil Nadu,CHK,3.01,1
10,KA,Andhra Pradesh,CHK,1.39,0
18,TN,Tamil Nadu,DEN,0.5,0
31,BH,Karnataka,MAL,2.0,1
25,UP,Odisha,MAL,3.52,1
47,KA,Rajasthan,MAL,1.43,0
28,GJ,Andhra Pradesh,DEN,3.85,1
48,BH,Rajasthan,CHK,3.67,1
12,KA,Odisha,MAL,1.25,0
2,UP,West Bengal,DEN,2.8,1
8,OR,West Bengal,DEN,2.49,1
5,MH,Bihar,CHK,0.8,0
13,AP,Bihar,DEN,1.38,0
43,WB,Karnataka,DEN,1.47,0
5,OR,Odisha,MAL,0.78,0
22,MH,Andhra Pradesh,MAL,1.31,0
42,TN,Uttar Pradesh,CHK,2.72,1
25,GJ,Rajasthan,MAL,4.12,1
38,TN,Tamil Nadu,DEN,0.79,0
28,MH,Maharashtra,CHK,0.47,0
45,RJ,Maharashtra,CHK,0.61,0
15,KA,West Bengal,DEN,4.65,1
12,MH,Maharashtra,MAL,4.29,1
28,WB,Odisha,MAL,1.04,0
3,UP,West Bengal,DEN,0.46,0
5,RJ,Rajasthan,DEN,2.81,1
47,TN,Maharashtra,CHK,0.99,0
46,KA,Karnataka,MAL,1.41,0
39,KA,Maharashtra,MAL,0.72,0
43,TN,Maharashtra,DEN,3.39,1
23,RJ,Rajasthan,MAL,2.32,1
7,GJ,Andhra Pradesh,MAL,3.3,1
10,MH,Rajasthan,CHK,0.15,0
26,RJ,Gujarat,CHK,3.91,1
51,MH,Karnataka,DEN,4.69,1
12,OR,Gujarat,DEN,3.82,1
33,MH,Karnataka,MAL,2.24,1
36,RJ,Gujarat,MAL,2.83,1
5,MH,Rajasthan,CHK,3.7,1
28,UP,Odisha,CHK,3.4,1
18,KA,Bihar,CHK,1.37,0
45,TN,Andhra Pradesh,CHK,0.11,0
14,MH,Odisha,CHK,1.05,0
23,OR,Gujarat,DEN,4.25,1
37,TN,Bihar,DEN,2.35,1
47,OR,Gujarat,CHK,0.84,0
49,RJ,Rajasthan,CHK,2.48,1
30,TN,Bihar,DEN,2.06,1
13,AP,Karnataka,CHK,0.7,0
